attributes,XS,S,M,L,XL,2XL
Body Height,< 172 cm,172 - 177 cm,177 - 182 cm,182 - 187 cm,187 - 192 cm,> 192 cm
Seat Height,673 - 773 mm,713 - 813 mm,745 - 845 mm,771 - 871 mm,793 - 893 mm,818 - 918 mm
Seat Tube Length,465 mm,505 mm,537 mm,563 mm,585 mm,610 mm
Top Tube Length,526 mm,537 mm,547 mm,554 mm,576 mm,587 mm
Head Tube Length,150 mm,163 mm,175 mm,190 mm,212 mm,230 mm
Head Tube Angle,"70,8°","71,5°","72,5°","73,3°","73,3°","73,3°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,984 mm,988 mm,989 mm,998 mm,1.011 mm,1.022 mm
Stack,551 mm,566 mm,581 mm,598 mm,619 mm,636 mm
Reach,363 mm,369 mm,375 mm,377 mm,393 mm,399 mm
Stack+,635 mm,652 mm,667 mm,685 mm,706 mm,725 mm
Reach+,422 mm,439 mm,456 mm,469 mm,485 mm,501 mm
Stand-over Height,741 mm,771 mm,797 mm,817 mm,838 mm,858 mm
Bottom Bracket Offset,70 mm,70 mm,70 mm,70 mm,70 mm,70 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Stem Length,80 mm,90 mm,100 mm,110 mm,110 mm,120 mm
Handlebar Width,400 mm,420 mm,420 mm,420 mm,440 mm,440 mm
Crank Length,"165,0 mm","170,0 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,50/34,50/34,50/34,50/34,50/34,50/34
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,190 mm,190 mm,190 mm,190 mm,190 mm,190 mm
Seat Post Insertion Depth,90 mm,90 mm,90 mm,90 mm,90 mm,90 mm
Wheel Size,"28""","28""","28""","28""","28""","28"""
